author_name,author_url
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Jane Austen,http://goodreads.com/author/show/1265.Jane_Austen
Marilyn Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
André Gide,http://goodreads.com/author/show/7617.Andr_Gide
Thomas A. Edison,http://goodreads.com/author/show/3091287.Thomas_A_Edison
Eleanor Roosevelt,http://goodreads.com/author/show/44566.Eleanor_Roosevelt
Steve Martin,http://goodreads.com/author/show/7103.Steve_Martin
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Jane Austen,http://goodreads.com/author/show/1265.Jane_Austen
Marilyn Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
André Gide,http://goodreads.com/author/show/7617.Andr_Gide
Thomas A. Edison,http://goodreads.com/author/show/3091287.Thomas_A_Edison
Eleanor Roosevelt,http://goodreads.com/author/show/44566.Eleanor_Roosevelt
Steve Martin,http://goodreads.com/author/show/7103.Steve_Martin
Marilyn Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Bob Marley,http://goodreads.com/author/show/25241.Bob_Marley
Dr. Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
Douglas Adams,http://goodreads.com/author/show/4.Douglas_Adams
Elie Wiesel,http://goodreads.com/author/show/1049.Elie_Wiesel
Friedrich Nietzsche,http://goodreads.com/author/show/1938.Friedrich_Nietzsche
Mark Twain,http://goodreads.com/author/show/1244.Mark_Twain
Allen Saunders,http://goodreads.com/author/show/276029.Allen_Saunders
Pablo Neruda,http://goodreads.com/author/show/4026.Pablo_Neruda
Ralph Waldo Emerson,http://goodreads.com/author/show/12080.Ralph_Waldo_Emerson
Mother Teresa,http://goodreads.com/author/show/838305.Mother_Teresa
Garrison Keillor,http://goodreads.com/author/show/2014.Garrison_Keillor
Jim Henson,http://goodreads.com/author/show/4427.Jim_Henson
Dr. Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Bob Marley,http://goodreads.com/author/show/25241.Bob_Marley
Dr. Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Bob Marley,http://goodreads.com/author/show/25241.Bob_Marley
Mother Teresa,http://goodreads.com/author/show/838305.Mother_Teresa
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Charles M. Schulz,http://goodreads.com/author/show/209672.Charles_M_Schulz
William Nicholson,http://goodreads.com/author/show/46130.William_Nicholson
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Jorge Luis Borges,http://goodreads.com/author/show/500.Jorge_Luis_Borges
George Eliot,http://goodreads.com/author/show/173.George_Eliot
George R.R. Martin,http://goodreads.com/author/show/346732.George_R_R_Martin
C.S. Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
Marilyn Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Marilyn Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Marilyn Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Marilyn Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Martin Luther King Jr.,http://goodreads.com/author/show/23924.Martin_Luther_King_Jr_
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
James Baldwin,http://goodreads.com/author/show/10427.James_Baldwin
Jane Austen,http://goodreads.com/author/show/1265.Jane_Austen
Eleanor Roosevelt,http://goodreads.com/author/show/44566.Eleanor_Roosevelt
Marilyn Monroe,http://goodreads.com/author/show/82952.Marilyn_Monroe
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Haruki Murakami,http://goodreads.com/author/show/3354.Haruki_Murakami
Alexandre Dumas fils,http://goodreads.com/author/show/3186713.Alexandre_Dumas_fils
Stephenie Meyer,http://goodreads.com/author/show/941441.Stephenie_Meyer
Ernest Hemingway,http://goodreads.com/author/show/1455.Ernest_Hemingway
Helen Keller,http://goodreads.com/author/show/7275.Helen_Keller
George Bernard Shaw,http://goodreads.com/author/show/5217.George_Bernard_Shaw
Charles Bukowski,http://goodreads.com/author/show/13275.Charles_Bukowski
Suzanne Collins,http://goodreads.com/author/show/153394.Suzanne_Collins
Suzanne Collins,http://goodreads.com/author/show/153394.Suzanne_Collins
C.S. Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
J.R.R. Tolkien,http://goodreads.com/author/show/656983.J_R_R_Tolkien
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Ernest Hemingway,http://goodreads.com/author/show/1455.Ernest_Hemingway
Ralph Waldo Emerson,http://goodreads.com/author/show/12080.Ralph_Waldo_Emerson
Mark Twain,http://goodreads.com/author/show/1244.Mark_Twain
Dr. Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
Alfred Tennyson,http://goodreads.com/author/show/13638502.Alfred_Tennyson
Charles Bukowski,http://goodreads.com/author/show/13275.Charles_Bukowski
Terry Pratchett,http://goodreads.com/author/show/1654.Terry_Pratchett
Dr. Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
J.D. Salinger,http://goodreads.com/author/show/819789.J_D_Salinger
George Carlin,http://goodreads.com/author/show/22782.George_Carlin
John Lennon,http://goodreads.com/author/show/19968.John_Lennon
W.C. Fields,http://goodreads.com/author/show/82951.W_C_Fields
Ayn Rand,http://goodreads.com/author/show/432.Ayn_Rand
Mark Twain,http://goodreads.com/author/show/1244.Mark_Twain
Albert Einstein,http://goodreads.com/author/show/9810.Albert_Einstein
Jane Austen,http://goodreads.com/author/show/1265.Jane_Austen
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Jane Austen,http://goodreads.com/author/show/1265.Jane_Austen
Jane Austen,http://goodreads.com/author/show/1265.Jane_Austen
C.S. Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
C.S. Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
Mark Twain,http://goodreads.com/author/show/1244.Mark_Twain
Mark Twain,http://goodreads.com/author/show/1244.Mark_Twain
C.S. Lewis,http://goodreads.com/author/show/1069006.C_S_Lewis
J.K. Rowling,http://goodreads.com/author/show/1077326.J_K_Rowling
Jimi Hendrix,http://goodreads.com/author/show/7268.Jimi_Hendrix
J.M. Barrie,http://goodreads.com/author/show/5255014.J_M_Barrie
E.E. Cummings,http://goodreads.com/author/show/10547.E_E_Cummings
Khaled Hosseini,http://goodreads.com/author/show/569.Khaled_Hosseini
Harper Lee,http://goodreads.com/author/show/1825.Harper_Lee
Madeleine L'Engle,http://goodreads.com/author/show/106.Madeleine_L_Engle
Mark Twain,http://goodreads.com/author/show/1244.Mark_Twain
Dr. Seuss,http://goodreads.com/author/show/61105.Dr_Seuss
George R.R. Martin,http://goodreads.com/author/show/346732.George_R_R_Martin
